query,answer
"List all players from CSKA-AS-23 Ltd. with a market value above 1 million euros","Dimitar Berbatov"
"Who are the attacking players from Arsenal Football Club worth more than 3 million euros?","Tomas Rosicky"
"Show me Brazilian Centre-Backs valued over 200,000 euros","Lúcio, Dedê"
"Which players from Galatasaray Spor Kulübü have a market value above 300,000 euros?","Tomas Ujfalusi"
"List all Goalkeepers from FC Bayern München with a market value over 100,000 euros","Tom Starke"
"Who are the midfielders from Hertha BSC worth more than 400,000 euros?","Levan Kobiashvili"
"Show players from Eintracht Frankfurt Fußball AG with a market value above 350,000 euros","Oka Nikolov, Benjamin Köhler"
"Which players from Liverpool have a market value greater than 60 million euros?","Mohamed Salah, Trent Alexander-Arnold"
"List all players from Manchester City valued over 70 million euros","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Who are the defenders from Juventus Football Club with a market value above 500,000 euros?","Lúcio"
"Show German Goalkeepers worth more than 1.5 million euros","Roman Weidenfeller, Marc Ziegler, Gerhard Tremmel, Oka Nikolov, Simon Jentzsch"
"Which players from Arsenal Football Club have a market value above 350,000 euros?","Tomas Rosicky, Tomas Ujfalusi"
"List all players from ASBW Sport Marketing with a market value over 1 million euros","Miroslav Klose, Dimitar Berbatov"
"Who are the forwards from Sportverein Werder Bremen von 1899 worth more than 400,000 euros?","Claudio Pizarro"
"Show players from Panthessalonikios Athlitikos Omilos Konstantinoupoliton with a market value above 10 million euros","Dimitar Berbatov"
"Which players from Verein für Bewegungsspiele Stuttgart 1893 have a market value over 200,000 euros?","Marc Ziegler, Tamás Hajnal"
"List all Goalkeepers from FC Augsburg 1907 valued over 300,000 euros","Simon Jentzsch"
"Who are the Centre-Backs from FC Schalke 04 worth more than 1.5 million euros?","Christoph Metzelder, Fabian Ernst"
"Show players from Málaga CF with a market value above 250,000 euros","Roque Santa Cruz"
"Which players from CSKA-AS-23 Ltd. have a market value over 1 million euros?","Dimitar Berbatov"
"List all Goalkeepers from FC Bayern München with a market value above 100,000 euros","Tom Starke"
"Who are the midfielders from Hertha BSC worth more than 400,000 euros?","Levan Kobiashvili"
"Show defenders from Eintracht Frankfurt Fußball AG with a market value above 350,000 euros","Oka Nikolov, Benjamin Köhler"
"Which players from Liverpool have a market value greater than 60 million euros?","Mohamed Salah, Trent Alexander-Arnold"
"List all players from Manchester City valued over 70 million euros","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Who are the defenders from Juventus Football Club with a market value above 500,000 euros?","Lúcio"
"Show German Goalkeepers worth more than 1.5 million euros","Roman Weidenfeller, Marc Ziegler, Gerhard Tremmel, Oka Nikolov, Simon Jentzsch"
"Which players from Arsenal Football Club have a market value above 350,000 euros?","Tomas Rosicky, Tomas Ujfalusi"
"List all players from ASBW Sport Marketing with a market value over 1 million euros","Miroslav Klose, Dimitar Berbatov"
"Who are the forwards from Sportverein Werder Bremen von 1899 worth more than 400,000 euros?","Claudio Pizarro"
"Show players from Panthessalonikios Athlitikos Omilos Konstantinoupoliton with a market value above 10 million euros","Dimitar Berbatov"
"Which players from Verein für Bewegungsspiele Stuttgart 1893 have a market value over 200,000 euros?","Marc Ziegler, Tamás Hajnal"
"List all Goalkeepers from FC Augsburg 1907 valued over 300,000 euros","Simon Jentzsch"
"Who are the Centre-Backs from FC Schalke 04 worth more than 1.5 million euros?","Christoph Metzelder, Fabian Ernst"
"Show players from Málaga CF with a market value above 250,000 euros","Roque Santa Cruz"
"Which players from CSKA-AS-23 Ltd. have a market value over 1 million euros?","Dimitar Berbatov"
"List all Goalkeepers from FC Bayern München with a market value above 100,000 euros","Tom Starke"
"Who are the midfielders from Hertha BSC worth more than 400,000 euros?","Levan Kobiashvili"
"Show defenders from Eintracht Frankfurt Fußball AG with a market value above 350,000 euros","Oka Nikolov, Benjamin Köhler"
"Which players from Liverpool have a market value greater than 60 million euros?","Mohamed Salah, Trent Alexander-Arnold"
"List all players from Manchester City valued over 70 million euros","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Who are the defenders from Juventus Football Club with a market value above 500,000 euros?","Lúcio"
"Show German Goalkeepers worth more than 1.5 million euros","Roman Weidenfeller, Marc Ziegler, Gerhard Tremmel, Oka Nikolov, Simon Jentzsch"
"Which players from Arsenal Football Club have a market value above 350,000 euros?","Tomas Rosicky, Tomas Ujfalusi"
"List all players from ASBW Sport Marketing with a market value over 1 million euros","Miroslav Klose, Dimitar Berbatov"
"Who are the forwards from Sportverein Werder Bremen von 1899 worth more than 400,000 euros?","Claudio Pizarro"
"Show players from Panthessalonikios Athlitikos Omilos Konstantinoupoliton with a market value above 10 million euros","Dimitar Berbatov"
"Which players from Verein für Bewegungsspiele Stuttgart 1893 have a market value over 200,000 euros?","Marc Ziegler, Tamás Hajnal"
"List all Goalkeepers from FC Augsburg 1907 valued over 300,000 euros","Simon Jentzsch"
"Who are the Centre-Backs from FC Schalke 04 worth more than 1.5 million euros?","Christoph Metzelder, Fabian Ernst"
"Show players from Málaga CF with a market value above 250,000 euros","Roque Santa Cruz"
"Which players from CSKA-AS-23 Ltd. have a market value over 1 million euros?","Dimitar Berbatov"
"List all Goalkeepers from FC Bayern München with a market value above 100,000 euros","Tom Starke"
"Who are the midfielders from Hertha BSC worth more than 400,000 euros?","Levan Kobiashvili"
"Show defenders from Eintracht Frankfurt Fußball AG with a market value above 350,000 euros","Oka Nikolov, Benjamin Köhler"
"Which players from Liverpool have a market value greater than 60 million euros?","Mohamed Salah, Trent Alexander-Arnold"
"List all players from Manchester City valued over 70 million euros","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Who are the defenders from Juventus Football Club with a market value above 500,000 euros?","Lúcio"
"Show German Goalkeepers worth more than 1.5 million euros","Roman Weidenfeller, Marc Ziegler, Gerhard Tremmel, Oka Nikolov, Simon Jentzsch"
"Which players from Arsenal Football Club have a market value above 350,000 euros?","Tomas Rosicky, Tomas Ujfalusi"
"List all players from ASBW Sport Marketing with a market value over 1 million euros","Miroslav Klose, Dimitar Berbatov"
"Who are the forwards from Sportverein Werder Bremen von 1899 worth more than 400,000 euros?","Claudio Pizarro"
"Show players from Panthessalonikios Athlitikos Omilos Konstantinoupoliton with a market value above 10 million euros","Dimitar Berbatov"
"Which players from Verein für Bewegungsspiele Stuttgart 1893 have a market value over 200,000 euros?","Marc Ziegler, Tamás Hajnal"
"List all Goalkeepers from FC Augsburg 1907 valued over 300,000 euros","Simon Jentzsch"
"Who are the Centre-Backs from FC Schalke 04 worth more than 1.5 million euros?","Christoph Metzelder, Fabian Ernst"
"Show players from Málaga CF with a market value above 250,000 euros","Roque Santa Cruz"
"Which players from CSKA-AS-23 Ltd. have a market value over 1 million euros?","Dimitar Berbatov"
"List all Goalkeepers from FC Bayern München with a market value above 100,000 euros","Tom Starke"
"Who are the midfielders from Hertha BSC worth more than 400,000 euros?","Levan Kobiashvili"
"Show defenders from Eintracht Frankfurt Fußball AG with a market value above 350,000 euros","Oka Nikolov, Benjamin Köhler"
"Which players from Liverpool have a market value greater than 60 million euros?","Mohamed Salah, Trent Alexander-Arnold"
"List all players from Manchester City valued over 70 million euros","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Who are the defenders from Juventus Football Club with a market value above 500,000 euros?","Lúcio"
"Show German Goalkeepers worth more than 1.5 million euros","Roman Weidenfeller, Marc Ziegler, Gerhard Tremmel, Oka Nikolov, Simon Jentzsch"
"Which players from Arsenal Football Club have a market value above 350,000 euros?","Tomas Rosicky, Tomas Ujfalusi"
"List all players from ASBW Sport Marketing with a market value over 1 million euros","Miroslav Klose, Dimitar Berbatov"
"Who are the forwards from Sportverein Werder Bremen von 1899 worth more than 400,000 euros?","Claudio Pizarro"
"Show players from Panthessalonikios Athlitikos Omilos Konstantinoupoliton with a market value above 10 million euros","Dimitar Berbatov"
"Which players from Verein für Bewegungsspiele Stuttgart 1893 have a market value over 200,000 euros?","Marc Ziegler, Tamás Hajnal"
"List all Goalkeepers from FC Augsburg 1907 valued over 300,000 euros","Simon Jentzsch"
"Who are the Centre-Backs from FC Schalke 04 worth more than 1.5 million euros?","Christoph Metzelder, Fabian Ernst"
"Show players from Málaga CF with a market value above 250,000 euros","Roque Santa Cruz"
"Which players from CSKA-AS-23 Ltd. have a market value over 1 million euros?","Dimitar Berbatov"
"List all Goalkeepers from FC Bayern München with a market value above 100,000 euros","Tom Starke"
"Who are the midfielders from Hertha BSC worth more than 400,000 euros?","Levan Kobiashvili"
"Show defenders from Eintracht Frankfurt Fußball AG with a market value above 350,000 euros","Oka Nikolov, Benjamin Köhler"
"Which players from Liverpool have a market value greater than 60 million euros?","Mohamed Salah, Trent Alexander-Arnold"
"List all players from Manchester City valued over 70 million euros","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Who are the defenders from Juventus Football Club with a market value above 500,000 euros?","Lúcio"
"Show German Goalkeepers worth more than 1.5 million euros","Roman Weidenfeller, Marc Ziegler, Gerhard Tremmel, Oka Nikolov, Simon Jentzsch"
"Which players from Arsenal Football Club have a market value above 350,000 euros?","Tomas Rosicky, Tomas Ujfalusi"
"List all players from ASBW Sport Marketing with a market value over 1 million euros","Miroslav Klose, Dimitar Berbatov"
"Who are the forwards from Sportverein Werder Bremen von 1899 worth more than 400,000 euros?","Claudio Pizarro"
"Show players from Panthessalonikios Athlitikos Omilos Konstantinoupoliton with a market value above 10 million euros","Dimitar Berbatov"
"Which players from Verein für Bewegungsspiele Stuttgart 1893 have a market value over 200,000 euros?","Marc Ziegler, Tamás Hajnal"
"List all Goalkeepers from FC Augsburg 1907 valued over 300,000 euros","Simon Jentzsch"
"Who are the Centre-Backs from FC Schalke 04 worth more than 1.5 million euros?","Christoph Metzelder, Fabian Ernst"
"Show players from Málaga CF with a market value above 250,000 euros","Roque Santa Cruz"
"Which players from CSKA-AS-23 Ltd. have a market value over 1 million euros?","Dimitar Berbatov"
"List all Goalkeepers from FC Bayern München with a market value above 100,000 euros","Tom Starke"
"Who are the midfielders from Hertha BSC worth more than 400,000 euros?","Levan Kobiashvili"
"Show defenders from Eintracht Frankfurt Fußball AG with a market value above 350,000 euros","Oka Nikolov, Benjamin Köhler"
"Which players from Liverpool have a market value greater than 60 million euros?","Mohamed Salah, Trent Alexander-Arnold"
"List all players from Manchester City valued over 70 million euros","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Who are the defenders from Juventus Football Club with a market value above 500,000 euros?","Lúcio"
"Show German Goalkeepers worth more than 1.5 million euros","Roman Weidenfeller, Marc Ziegler, Gerhard Tremmel, Oka Nikolov, Simon Jentzsch"
"Which players from Arsenal Football Club have a market value above 350,000 euros?","Tomas Rosicky, Tomas Ujfalusi"
"List all players from ASBW Sport Marketing with a market value over 1 million euros","Miroslav Klose, Dimitar Berbatov"
"Who are the forwards from Sportverein Werder Bremen von 1899 worth more than 400,000 euros?","Claudio Pizarro"
"Show players from Panthessalonikios Athlitikos Omilos Konstantinoupoliton with a market value above 10 million euros","Dimitar Berbatov"
"Which players from Verein für Bewegungsspiele Stuttgart 1893 have a market value over 200,000 euros?","Marc Ziegler, Tamás Hajnal"
"List all Goalkeepers from FC Augsburg 1907 valued over 300,000 euros","Simon Jentzsch"
"Who are the Centre-Backs from FC Schalke 04 worth more than 1.5 million euros?","Christoph Metzelder, Fabian Ernst"
"Show players from Málaga CF with a market value above 250,000 euros","Roque Santa Cruz"
"Which players from CSKA-AS-23 Ltd. have a market value over 1 million euros?","Dimitar Berbatov"
"List all Goalkeepers from FC Bayern München with a market value above 100,000 euros","Tom Starke"
"Who are the midfielders from Hertha BSC worth more than 400,000 euros?","Levan Kobiashvili"
"Show defenders from Eintracht Frankfurt Fußball AG with a market value above 350,000 euros","Oka Nikolov, Benjamin Köhler"
"Which players from Liverpool have a market value greater than 60 million euros?","Mohamed Salah, Trent Alexander-Arnold"
"List all players from Manchester City valued over 70 million euros","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Who are the defenders from Juventus Football Club with a market value above 500,000 euros?","Lúcio"
"Show German Goalkeepers worth more than 1.5 million euros","Roman Weidenfeller, Marc Ziegler, Gerhard Tremmel, Oka Nikolov, Simon Jentzsch"
"Which players from Arsenal Football Club have a market value above 350,000 euros?","Tomas Rosicky, Tomas Ujfalusi"
"List all players from ASBW Sport Marketing with a market value over 1 million euros","Miroslav Klose, Dimitar Berbatov"
"Who are the forwards from Sportverein Werder Bremen von 1899 worth more than 400,000 euros?","Claudio Pizarro"
"Show players from Panthessalonikios Athlitikos Omilos Konstantinoupoliton with a market value above 10 million euros","Dimitar Berbatov"
"Which players from Verein für Bewegungsspiele Stuttgart 1893 have a market value over 200,000 euros?","Marc Ziegler, Tamás Hajnal"
"List all Goalkeepers from FC Augsburg 1907 valued over 300,000 euros","Simon Jentzsch"
"Who are the Centre-Backs from FC Schalke 04 worth more than 1.5 million euros?","Christoph Metzelder, Fabian Ernst"
"Show players from Málaga CF with a market value above 250,000 euros","Roque Santa Cruz"
"Which players from CSKA-AS-23 Ltd. have a market value over 1 million euros?","Dimitar Berbatov"
"List all Goalkeepers from FC Bayern München with a market value above 100,000 euros","Tom Starke"
"Who are the midfielders from Hertha BSC worth more than 400,000 euros?","Levan Kobiashvili"
"Show defenders from Eintracht Frankfurt Fußball AG with a market value above 350,000 euros","Oka Nikolov, Benjamin Köhler"
"Which players from Liverpool have a market value greater than 60 million euros?","Mohamed Salah, Trent Alexander-Arnold"
"List all players from Manchester City valued over 70 million euros","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Who are the defenders from Juventus Football Club with a market value above 500,000 euros?","Lúcio"
"Show German Goalkeepers worth more than 1.5 million euros","Roman Weidenfeller, Marc Ziegler, Gerhard Tremmel, Oka Nikolov, Simon Jentzsch"
"Which players from Arsenal Football Club have a market value above 350,000 euros?","Tomas Rosicky, Tomas Ujfalusi"
"List all players from ASBW Sport Marketing with a market value over 1 million euros","Miroslav Klose, Dimitar Berbatov"
"Who are the forwards from Sportverein Werder Bremen von 1899 worth more than 400,000 euros?","Claudio Pizarro"
