context,question,answer,context_length,question_length,answer_length
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,What was the last known club of Dimitar Berbatov?,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,12,9,4
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,Which country did Dimitar Berbatov represent?,Dimitar Berbatov,12,6,2
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,What was the last known club of Dimitar Berbatov?,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,12,9,4
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,Which country did Dimitar Berbatov represent?,Dimitar Berbatov,12,6,2
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,In which year did Dimitar Berbatov retire?,2015,12,7,1
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,Which country did Dimitar Berbatov represent?,Dimitar Berbatov,12,6,2
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,In which year did Lúcio Lúcio retire?,2012,11,7,1
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,Which country did Lúcio Lúcio represent?,Lúcio,11,6,1
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,What was the last known club of Lúcio Lúcio?,Juventus Football Club,11,9,3
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,What is Lúcio Lúcio's full name?,Lúcio,11,6,1
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,For which club did Lúcio Lúcio last play?,Juventus Football Club,11,8,3
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,What was the market value of Lúcio Lúcio during their last season?,Unknown,11,12,1
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,For which club did Lúcio Lúcio last play?,Juventus Football Club,11,8,3
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,For which club did Lúcio Lúcio last play?,Juventus Football Club,11,8,3
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,What is Lúcio Lúcio's full name?,Lúcio,11,6,1
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,What was the market value of Lúcio Lúcio during their last season?,Unknown,11,12,1
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,Which country did Lúcio Lúcio represent?,Lúcio,11,6,1
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,Which country did Lúcio Lúcio represent?,Lúcio,11,6,1
Tom Starke played for FC Bayern München during the 2017 season.,What was the market value of Tom Starke during their last season?,Unknown,11,12,1
Tom Starke played for FC Bayern München during the 2017 season.,What was the last known club of Tom Starke?,FC Bayern München,11,9,3
Tom Starke played for FC Bayern München during the 2017 season.,What was the last known club of Tom Starke?,FC Bayern München,11,9,3
Tom Starke played for FC Bayern München during the 2017 season.,What is Tom Starke's full name?,Tom Starke,11,6,2
Tom Starke played for FC Bayern München during the 2017 season.,For which club did Tom Starke last play?,FC Bayern München,11,8,3
Tom Starke played for FC Bayern München during the 2017 season.,For which club did Tom Starke last play?,FC Bayern München,11,8,3
Tom Starke played for FC Bayern München during the 2017 season.,Which country did Tom Starke represent?,Tom Starke,11,6,2
Tom Starke played for FC Bayern München during the 2017 season.,What is Tom Starke's full name?,Tom Starke,11,6,2
Tom Starke played for FC Bayern München during the 2017 season.,Which country did Tom Starke represent?,Tom Starke,11,6,2
Tom Starke played for FC Bayern München during the 2017 season.,What was the market value of Tom Starke during their last season?,Unknown,11,12,1
Tom Starke played for FC Bayern München during the 2017 season.,In which year did Tom Starke retire?,2017,11,7,1
Tom Starke played for FC Bayern München during the 2017 season.,For which club did Tom Starke last play?,FC Bayern München,11,8,3
Dedê Dedê played for Eskisehirspor during the 2013 season.,For which club did Dedê Dedê last play?,Eskisehirspor,9,8,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,What was the last known club of Dedê Dedê?,Eskisehirspor,9,9,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,What is Dedê Dedê's full name?,Dedê,9,6,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,What was the market value of Dedê Dedê during their last season?,Unknown,9,12,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,Which country did Dedê Dedê represent?,Dedê,9,6,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,For which club did Dedê Dedê last play?,Eskisehirspor,9,8,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,What is Dedê Dedê's full name?,Dedê,9,6,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,What was the last known club of Dedê Dedê?,Eskisehirspor,9,9,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,In which year did Dedê Dedê retire?,2013,9,7,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,For which club did Dedê Dedê last play?,Eskisehirspor,9,8,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,What was the last known club of Dedê Dedê?,Eskisehirspor,9,9,1
Dedê Dedê played for Eskisehirspor during the 2013 season.,Which country did Dedê Dedê represent?,Dedê,9,6,1
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,In which year did Christoph Metzelder retire?,2012,11,7,1
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,What was the last known club of Christoph Metzelder?,FC Schalke 04,11,9,3
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,For which club did Christoph Metzelder last play?,FC Schalke 04,11,8,3
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,In which year did Christoph Metzelder retire?,2012,11,7,1
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,What was the last known club of Christoph Metzelder?,FC Schalke 04,11,9,3
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,What was the last known club of Christoph Metzelder?,FC Schalke 04,11,9,3
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,What is Christoph Metzelder's full name?,Christoph Metzelder,11,6,2
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,What is Christoph Metzelder's full name?,Christoph Metzelder,11,6,2
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,What was the market value of Christoph Metzelder during their last season?,Unknown,11,12,1
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,Which country did Christoph Metzelder represent?,Christoph Metzelder,11,6,2
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,What is Christoph Metzelder's full name?,Christoph Metzelder,11,6,2
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,What was the market value of Christoph Metzelder during their last season?,Unknown,11,12,1
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,For which club did Tomas Rosicky last play?,Arsenal Football Club,11,8,3
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,What was the market value of Tomas Rosicky during their last season?,Unknown,11,12,1
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,What was the market value of Tomas Rosicky during their last season?,Unknown,11,12,1
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,For which club did Tomas Rosicky last play?,Arsenal Football Club,11,8,3
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,What was the market value of Tomas Rosicky during their last season?,Unknown,11,12,1
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,Which country did Tomas Rosicky represent?,Tomas Rosicky,11,6,2
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,For which club did Tomas Rosicky last play?,Arsenal Football Club,11,8,3
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,What was the last known club of Tomas Rosicky?,Arsenal Football Club,11,9,3
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,For which club did Tomas Rosicky last play?,Arsenal Football Club,11,8,3
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,What was the last known club of Tomas Rosicky?,Arsenal Football Club,11,9,3
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,What was the last known club of Tomas Rosicky?,Arsenal Football Club,11,9,3
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,What was the market value of Tomas Rosicky during their last season?,Unknown,11,12,1
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What was the last known club of Marc Ziegler?,Verein für Bewegungsspiele Stuttgart 1893,13,9,5
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,For which club did Marc Ziegler last play?,Verein für Bewegungsspiele Stuttgart 1893,13,8,5
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,In which year did Marc Ziegler retire?,2012,13,7,1
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,In which year did Marc Ziegler retire?,2012,13,7,1
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What was the last known club of Marc Ziegler?,Verein für Bewegungsspiele Stuttgart 1893,13,9,5
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,For which club did Marc Ziegler last play?,Verein für Bewegungsspiele Stuttgart 1893,13,8,5
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What was the market value of Marc Ziegler during their last season?,Unknown,13,12,1
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,For which club did Marc Ziegler last play?,Verein für Bewegungsspiele Stuttgart 1893,13,8,5
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,In which year did Marc Ziegler retire?,2012,13,7,1
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What was the last known club of Marc Ziegler?,Verein für Bewegungsspiele Stuttgart 1893,13,9,5
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,Which country did Marc Ziegler represent?,Marc Ziegler,13,6,2
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What was the market value of Marc Ziegler during their last season?,Unknown,13,12,1
Roque Santa Cruz played for Málaga CF during the 2015 season.,What is Roque Santa Cruz's full name?,Roque Santa Cruz,11,7,3
Roque Santa Cruz played for Málaga CF during the 2015 season.,What was the last known club of Roque Santa Cruz?,Málaga CF,11,10,2
Roque Santa Cruz played for Málaga CF during the 2015 season.,Which country did Roque Santa Cruz represent?,Roque Santa Cruz,11,7,3
Roque Santa Cruz played for Málaga CF during the 2015 season.,In which year did Roque Santa Cruz retire?,2015,11,8,1
Roque Santa Cruz played for Málaga CF during the 2015 season.,For which club did Roque Santa Cruz last play?,Málaga CF,11,9,2
Roque Santa Cruz played for Málaga CF during the 2015 season.,In which year did Roque Santa Cruz retire?,2015,11,8,1
Roque Santa Cruz played for Málaga CF during the 2015 season.,What was the market value of Roque Santa Cruz during their last season?,Unknown,11,13,1
Roque Santa Cruz played for Málaga CF during the 2015 season.,In which year did Roque Santa Cruz retire?,2015,11,8,1
Roque Santa Cruz played for Málaga CF during the 2015 season.,For which club did Roque Santa Cruz last play?,Málaga CF,11,9,2
Roque Santa Cruz played for Málaga CF during the 2015 season.,What was the last known club of Roque Santa Cruz?,Málaga CF,11,10,2
Roque Santa Cruz played for Málaga CF during the 2015 season.,For which club did Roque Santa Cruz last play?,Málaga CF,11,9,2
Roque Santa Cruz played for Málaga CF during the 2015 season.,What was the last known club of Roque Santa Cruz?,Málaga CF,11,10,2
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,Which country did Gerald Asamoah represent?,Gerald Asamoah,11,6,2
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,What is Gerald Asamoah's full name?,Gerald Asamoah,11,6,2
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,For which club did Gerald Asamoah last play?,FC Schalke 04,11,8,3
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,Which country did Gerald Asamoah represent?,Gerald Asamoah,11,6,2
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,In which year did Gerald Asamoah retire?,2013,11,7,1
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,Which country did Gerald Asamoah represent?,Gerald Asamoah,11,6,2
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,What was the last known club of Gerald Asamoah?,FC Schalke 04,11,9,3
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,What was the market value of Gerald Asamoah during their last season?,Unknown,11,12,1
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,For which club did Gerald Asamoah last play?,FC Schalke 04,11,8,3
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,In which year did Gerald Asamoah retire?,2013,11,7,1
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,Which country did Gerald Asamoah represent?,Gerald Asamoah,11,6,2
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,For which club did Gerald Asamoah last play?,FC Schalke 04,11,8,3
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What was the market value of Tamás Hajnal during their last season?,Unknown,13,12,1
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,In which year did Tamás Hajnal retire?,2012,13,7,1
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What was the market value of Tamás Hajnal during their last season?,Unknown,13,12,1
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,Which country did Tamás Hajnal represent?,Tamás Hajnal,13,6,2
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What was the market value of Tamás Hajnal during their last season?,Unknown,13,12,1
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,Which country did Tamás Hajnal represent?,Tamás Hajnal,13,6,2
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What is Tamás Hajnal's full name?,Tamás Hajnal,13,6,2
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,For which club did Tamás Hajnal last play?,Verein für Bewegungsspiele Stuttgart 1893,13,8,5
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What is Tamás Hajnal's full name?,Tamás Hajnal,13,6,2
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What was the last known club of Tamás Hajnal?,Verein für Bewegungsspiele Stuttgart 1893,13,9,5
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,What is Tamás Hajnal's full name?,Tamás Hajnal,13,6,2
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,Which country did Tamás Hajnal represent?,Tamás Hajnal,13,6,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,What was the last known club of Sladan Peric?,FC Vestsjaelland,10,9,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,What is Sladan Peric's full name?,Sladan Peric,10,6,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,For which club did Sladan Peric last play?,FC Vestsjaelland,10,8,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,What is Sladan Peric's full name?,Sladan Peric,10,6,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,What was the last known club of Sladan Peric?,FC Vestsjaelland,10,9,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,For which club did Sladan Peric last play?,FC Vestsjaelland,10,8,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,For which club did Sladan Peric last play?,FC Vestsjaelland,10,8,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,What was the last known club of Sladan Peric?,FC Vestsjaelland,10,9,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,What is Sladan Peric's full name?,Sladan Peric,10,6,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,For which club did Sladan Peric last play?,FC Vestsjaelland,10,8,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,What is Sladan Peric's full name?,Sladan Peric,10,6,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,In which year did Sladan Peric retire?,2013,10,7,1
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,In which year did Sérgio da Silva Pinto retire?,2013,12,9,1
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,What was the last known club of Sérgio da Silva Pinto?,Levante UD,12,11,2
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,What was the market value of Sérgio da Silva Pinto during their last season?,Unknown,12,14,1
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,For which club did Sérgio da Silva Pinto last play?,Levante UD,12,10,2
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,For which club did Sérgio da Silva Pinto last play?,Levante UD,12,10,2
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,What was the last known club of Sérgio da Silva Pinto?,Levante UD,12,11,2
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,What was the last known club of Sérgio da Silva Pinto?,Levante UD,12,11,2
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,What was the market value of Sérgio da Silva Pinto during their last season?,Unknown,12,14,1
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,In which year did Sérgio da Silva Pinto retire?,2013,12,9,1
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,What is Sérgio da Silva Pinto's full name?,Sérgio da Silva Pinto,12,8,4
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,In which year did Sérgio da Silva Pinto retire?,2013,12,9,1
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,What was the last known club of Sérgio da Silva Pinto?,Levante UD,12,11,2
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,In which year did Fabian Ernst retire?,2012,11,7,1
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,For which club did Fabian Ernst last play?,Kasımpaşa Spor Kulübü,11,8,3
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,In which year did Fabian Ernst retire?,2012,11,7,1
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,What was the last known club of Fabian Ernst?,Kasımpaşa Spor Kulübü,11,9,3
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,In which year did Fabian Ernst retire?,2012,11,7,1
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,In which year did Fabian Ernst retire?,2012,11,7,1
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,In which year did Fabian Ernst retire?,2012,11,7,1
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,What was the last known club of Fabian Ernst?,Kasımpaşa Spor Kulübü,11,9,3
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,For which club did Fabian Ernst last play?,Kasımpaşa Spor Kulübü,11,8,3
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,In which year did Fabian Ernst retire?,2012,11,7,1
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,In which year did Fabian Ernst retire?,2012,11,7,1
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,In which year did Fabian Ernst retire?,2012,11,7,1
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,What was the last known club of Tomas Ujfalusi?,Galatasaray Spor Kulübü,11,9,3
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,What was the market value of Tomas Ujfalusi during their last season?,Unknown,11,12,1
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,In which year did Tomas Ujfalusi retire?,2012,11,7,1
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,Which country did Tomas Ujfalusi represent?,Tomas Ujfalusi,11,6,2
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,What is Tomas Ujfalusi's full name?,Tomas Ujfalusi,11,6,2
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,What was the market value of Tomas Ujfalusi during their last season?,Unknown,11,12,1
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,For which club did Tomas Ujfalusi last play?,Galatasaray Spor Kulübü,11,8,3
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,What was the market value of Tomas Ujfalusi during their last season?,Unknown,11,12,1
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,What is Tomas Ujfalusi's full name?,Tomas Ujfalusi,11,6,2
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,What was the last known club of Tomas Ujfalusi?,Galatasaray Spor Kulübü,11,9,3
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,In which year did Tomas Ujfalusi retire?,2012,11,7,1
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,What is Tomas Ujfalusi's full name?,Tomas Ujfalusi,11,6,2
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,What was the last known club of Benjamin Köhler?,Eintracht Frankfurt Fußball AG,12,9,4
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,Which country did Benjamin Köhler represent?,Benjamin Köhler,12,6,2
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,Which country did Benjamin Köhler represent?,Benjamin Köhler,12,6,2
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,What was the last known club of Benjamin Köhler?,Eintracht Frankfurt Fußball AG,12,9,4
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,What was the last known club of Benjamin Köhler?,Eintracht Frankfurt Fußball AG,12,9,4
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,In which year did Benjamin Köhler retire?,2012,12,7,1
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,For which club did Benjamin Köhler last play?,Eintracht Frankfurt Fußball AG,12,8,4
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,For which club did Benjamin Köhler last play?,Eintracht Frankfurt Fußball AG,12,8,4
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,For which club did Benjamin Köhler last play?,Eintracht Frankfurt Fußball AG,12,8,4
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,In which year did Benjamin Köhler retire?,2012,12,7,1
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,What was the last known club of Benjamin Köhler?,Eintracht Frankfurt Fußball AG,12,9,4
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,What is Benjamin Köhler's full name?,Benjamin Köhler,12,6,2
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,Which country did Sebastian Kehl represent?,Sebastian Kehl,10,6,2
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,For which club did Sebastian Kehl last play?,Borussia Dortmund,10,8,2
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,What was the last known club of Sebastian Kehl?,Borussia Dortmund,10,9,2
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,In which year did Sebastian Kehl retire?,2014,10,7,1
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,What is Sebastian Kehl's full name?,Sebastian Kehl,10,6,2
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,What was the last known club of Sebastian Kehl?,Borussia Dortmund,10,9,2
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,Which country did Sebastian Kehl represent?,Sebastian Kehl,10,6,2
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,In which year did Sebastian Kehl retire?,2014,10,7,1
